date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:46:57	98016/98016	---M--	200	added ('OK')	font/woff	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.woff	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.woff	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:58	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:58%20GMT	https://lnsp-cg.org/ncov2/images/labo.jpg	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/images/labo.jpg	(from https://lnsp-cg.org/ncov2/style.css)
06:46:58	191836/191836	---M--	200	added ('OK')	font/ttf	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:58	8445/8445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622f402b-20fd%22	https://client.crisp.chat/l.js	C:/Users/Silva/Documents/site/pcr/client.crisp.chat/l.js	(from https://lnsp-cg.org/index.php)
06:46:58	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Dec%202022%2005:46:59%20GMT	https://lnsp-cg.org/ncov2	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2	(from https://lnsp-cg.org/index.php)
06:46:59	7887/7887	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2007%20Dec%202022%2005:46:59%20GMT	https://lnsp-cg.org/testantigene.php	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/testantigene.php	(from https://lnsp-cg.org/index.php)
06:46:59	18020/18020	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2005:46:59%20GMT	https://lnsp-cg.org/ncov2/	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/index-2.html	(from https://lnsp-cg.org/index.php)
06:47:00	254/254	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Dec%202022%2005:46:59%20GMT	http://lnsp-cg.org/testantigene.php?con=false	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/testantigene.3cdc48.delayed	(from https://lnsp-cg.org/index.php)
06:47:00	839389/839389	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.svg	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.svg	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:47:01	7887/7887	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2005:47:00%20GMT	https://lnsp-cg.org/testantigene.php?con=false	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/testantigenedc48.html	(from https://lnsp-cg.org/index.php)
06:47:01	5231/5231	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2005:47:01%20GMT	https://lnsp-cg.org/enregistre.php	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/enregistre.html	(from https://lnsp-cg.org/index.php)
